@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
423,LA,17.3,35330,31736,479,1800,cluster7
424,SD,18.7,2868,43934,65,78,cluster1
425,KY,18.73,12090,36321,293,515,cluster7
426,LA,12.21,130251,53700,2820,6332,cluster6
427,FL,14.64,169856,44204,1687,2851,cluster1
428,IL,9.69,135661,50106,2603,4575,cluster6
429,MI,15.5,42268,39315,381,1633,cluster1
430,VA,21.48,16414,33848,103,314,cluster7
431,WV,20.5,44075,37973,826,666,cluster7
432,SD,14.19,19651,47100,273,630,cluster1
433,SD,13.88,4597,44849,76,73,cluster1
434,WI,11.5,178816,58058,3867,2728,cluster8
435,TX,20.88,6394,35399,145,239,cluster7
436,VA,8.72,35356,60922,700,1083,cluster8
437,IL,14.2,36368,52650,816,1614,cluster1
438,NC,27,27097,34080,372,1145,cluster3
439,GA,18.3,9897,36665,199,446,cluster7
440,GA,27.63,10778,31345,77,570,cluster3
441,ID,16.1,40476,39720,711,1788,cluster1
442,KY,40.1,65446,30302,1027,2486,cluster0
443,WY,9.4,27976,50058,238,1651,cluster6
444,MD,11.1,38098,61529,876,1498,cluster8
445,VA,11.5,15128,43814,344,644,cluster6
446,NC,17.5,34296,50203,567,1772,cluster1
447,AR,19.2,99449,53430,693,2714,cluster2
448,MS,25.4,29094,31275,318,457,cluster3
449,TN,13.6,19164,32533,167,469,cluster4
450,OK,18.8,11812,30070,175,623,cluster7
451,WA,22.8,59404,45225,1288,3106,cluster2
452,TX,12.4,7424,33786,81,133,cluster4
453,VA,11.26,39300,65590,283,2132,cluster8
454,IN,9.97,50113,56344,1135,901,cluster8
455,LA,13.1,83662,34299,553,1283,cluster4
456,VA,8.4,52969,34232,716,892,cluster4
457,MI,21.3,26220,42025,481,888,cluster7
458,TX,11.9,4581,44863,34,83,cluster6
459,PA,19.8,1218494,47490,16059,53993,cluster2
460,NC,15.6,173064,41969,858,3476,cluster1
461,LA,21.9,10551,32936,55,364,cluster3
462,IA,15.15,16070,44478,323,497,cluster1
463,NJ,6.8,491778,53363,3964,14466,cluster6
464,AR,39,8086,29316,170,327,cluster0
465,TX,25.3,2323,32829,45,35,cluster3
466,NE,10.7,9132,45234,97,223,cluster6
467,MA,11.7,1505006,75364,10685,30562,cluster5
468,AR,19.99,127127,38404,1348,6825,cluster7
469,MI,19.5,41948,40227,435,722,cluster7
470,PA,10.4,14801,44287,78,295,cluster6
471,CO,5.79,57352,79051,1154,2206,cluster5
472,VA,12.1,23859,32848,533,1011,cluster4
473,GA,21.4,9068,31241,123,236,cluster7
474,GA,23.91,42864,32351,609,998,cluster3
475,IL,16.3,7748,28933,118,327,cluster7
476,MT,16.36,5793,38106,90,178,cluster7
477,MO,24,8239,39549,149,312,cluster3
478,GA,18.06,55621,42253,1023,1046,cluster1
479,CA,13.9,739311,81568,9406,39125,cluster5
480,MI,17.5,49925,42420,507,968,cluster1
481,VA,23.7,18451,33818,292,365,cluster3
482,TX,27.1,41754,43696,606,1131,cluster3
483,WA,16.5,40552,35682,350,1619,cluster7
484,WI,10,6078,35532,136,347,cluster4
485,AL,11.69,55267,48863,482,3002,cluster6
486,GA,14.61,85765,51106,1744,1368,cluster1
487,MI,18.39,15649,38008,330,268,cluster7
488,WA,20.7,205262,51509,2674,9613,cluster2
489,TX,17.1,45656,40254,481,700,cluster7
490,LA,26.1,26401,37379,300,1308,cluster3
491,SD,13.2,3037,38695,24,84,cluster4
492,KY,23.9,45841,56791,282,734,cluster2
493,MO,16.28,53439,48483,825,1700,cluster1
494,MT,21.12,28947,37135,470,1463,cluster7
495,KS,13.9,5129,50070,52,85,cluster1
496,ME,16.6,38287,37986,824,1651,cluster7
497,NC,21.4,46150,43178,969,2064,cluster7
498,MT,21.1,4128,38913,32,140,cluster7
499,MO,9.3,225161,59039,1617,8520,cluster8
