@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
543,WV,40,13,29,0,cluster0
544,CA,30,9,20,9,cluster5
545,ND,37,10,54,0,cluster4
546,MD,36,12,6,0,cluster2
547,MT,35,8,0,0,cluster8
548,MA,24,8,19,36,cluster9
549,TX,40,10,7,3,cluster1
550,ND,33,8,7,6,cluster8
551,AL,43,15,6,3,cluster7
552,SD,28,8,13,12,cluster5
553,AL,47,16,0,3,cluster7
554,MI,28,10,14,36,cluster5
555,NE,36,9,22,3,cluster4
556,OH,36,11,11,3,cluster2
557,SD,39,10,0,3,cluster1
558,MI,37,11,10,3,cluster1
559,IN,41,12,0,0,cluster6
560,TX,37,12,0,0,cluster6
561,IN,32,11,10,33,cluster2
562,UT,34,9,15,6,cluster3
563,OR,32,9,13,6,cluster5
564,AL,38,14,7,9,cluster0
565,TX,34,11,21,3,cluster2
566,MN,32,10,23,3,cluster4
567,IN,38,9,11,6,cluster3
568,TX,39,11,6,0,cluster1
569,GA,37,12,17,0,cluster2
570,AL,37,12,6,6,cluster2
571,IN,34,13,6,3,cluster0
572,FL,38,13,0,0,cluster0
573,IA,37,8,3,6,cluster8
574,GA,40,12,12,3,cluster6
575,FL,37,13,13,6,cluster0
576,OH,36,12,10,15,cluster2
577,VA,34,9,21,3,cluster3
578,NC,39,15,0,0,cluster7
579,OH,33,12,13,18,cluster2
580,IA,34,9,13,3,cluster3
581,KY,42,15,7,6,cluster7
582,CA,35,9,0,0,cluster3
583,MS,38,15,7,6,cluster0
584,MO,37,10,11,0,cluster3
585,GA,33,13,0,3,cluster0
586,ND,50,12,0,3,cluster6
587,IA,34,10,9,6,cluster3
588,GA,38,15,0,3,cluster0
589,NE,39,9,0,0,cluster3
590,CO,25,5,9,0,cluster9
591,NC,42,15,10,6,cluster7
592,AK,39,8,0,0,cluster8
593,IA,34,11,19,6,cluster2
594,KS,40,10,0,6,cluster1
595,NM,29,7,7,6,cluster9
596,MO,35,12,32,3,cluster4
597,MN,34,9,18,3,cluster3
598,LA,42,13,5,3,cluster6
599,SD,31,6,6,3,cluster8
600,MT,31,8,0,0,cluster8
601,ID,31,7,0,0,cluster8
602,OK,42,15,5,3,cluster7
603,OH,42,11,13,12,cluster1
604,MI,45,11,5,3,cluster1
605,ID,36,9,24,3,cluster4
606,CO,15,4,16,12,cluster9
607,IN,35,10,9,6,cluster3
608,CT,27,9,11,21,cluster5
609,KS,40,12,36,0,cluster4
610,TX,36,10,0,0,cluster3
611,IN,35,11,8,3,cluster2
612,IL,42,10,3,3,cluster1
613,IA,34,8,5,3,cluster8
614,MI,37,15,0,0,cluster0
615,TX,38,8,9,3,cluster8
616,MN,30,6,13,6,cluster9
617,TN,40,12,0,0,cluster6
618,WI,34,7,14,9,cluster8
619,NJ,29,8,15,3,cluster5
620,TX,39,11,5,3,cluster1
621,NE,41,14,0,6,cluster0
622,NC,27,10,7,6,cluster5
623,VA,35,12,11,3,cluster2
624,IN,37,12,7,0,cluster2
625,KY,40,12,6,3,cluster6
626,CT,20,6,20,18,cluster9
627,WV,39,12,9,3,cluster6
628,FL,29,12,7,9,cluster2
629,WI,32,9,12,3,cluster5
630,NE,36,11,0,3,cluster2
631,CA,38,7,7,9,cluster8
632,NC,32,10,10,0,cluster3
633,TN,39,12,2,6,cluster6
634,IL,38,9,6,3,cluster3
635,NE,33,10,0,3,cluster3
636,OH,41,11,8,3,cluster1
637,AK,41,8,18,0,cluster8
638,MO,43,12,8,0,cluster6
639,WV,39,13,0,0,cluster0
640,TX,34,12,12,3,cluster2
641,OH,45,13,5,3,cluster6
642,TN,38,11,6,3,cluster1
643,MA,25,9,16,18,cluster5
644,MN,34,11,0,3,cluster2
645,TX,35,12,9,3,cluster2
646,IL,38,9,12,0,cluster3
647,CO,22,4,13,0,cluster9
648,TX,35,11,10,3,cluster2
649,KY,40,13,5,3,cluster6
650,OH,34,12,11,3,cluster2
651,IN,39,9,0,3,cluster3
652,TN,39,11,0,0,cluster1
653,IA,31,10,23,3,cluster5
654,MO,36,12,11,0,cluster2
655,MN,31,8,12,0,cluster8
656,KS,37,10,0,3,cluster3
657,TX,37,9,7,6,cluster3
658,WV,35,13,9,6,cluster0
659,VA,35,13,12,3,cluster0
660,VA,40,14,27,0,cluster0
661,TX,30,10,12,0,cluster5
662,ND,35,10,0,3,cluster3
663,SC,39,14,4,3,cluster0
664,SD,34,9,0,3,cluster3
665,WI,36,9,0,3,cluster3
666,KS,42,11,0,6,cluster1
667,GA,27,8,14,21,cluster5
668,VA,37,13,6,0,cluster0
669,IN,35,13,3,3,cluster0
670,VA,31,9,13,6,cluster5
671,NC,34,12,8,6,cluster2
672,GA,39,13,0,3,cluster0
673,PA,32,12,10,6,cluster2
674,MI,36,9,10,6,cluster3
675,NE,38,10,0,0,cluster1
676,VA,43,13,6,0,cluster6
677,NV,38,12,0,3,cluster6
678,MO,35,10,0,0,cluster3
679,NV,33,9,17,3,cluster5
680,PA,30,9,16,48,cluster5
681,WI,36,11,7,3,cluster2
682,WY,30,6,29,0,cluster9
